F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE,Predicted_number_of_claims
F,1,10,3,M1,S1,M1,L2,B,0,16.5,0
F,2,10,2,M1,S1,M1,L2,B,0,353.98,9
F,1,10,2,H2,S2,M3,L1,D,0,28.5,1
F,1,14,2,C,S3,M0,L4,B,0,23.24,1
F,7,6,2,M1,S1,M1,L2,D,0,98.89,3
F,4,14,2,M1,S1,M2,L2,D,0,4.56,0
F,2,8,2,H2,S1,M3,L2,D,0,8,0
F,11,14,3,M2,S2,M1,L2,D,0,9.17,0
F,2,10,2,M1,S1,M2,L2,D,0,39.86,1
F,2,10,2,M1,S2,M1,L3,B,0,9.32,0
F,1,0,2,M1,S2,M2,L2,B,0,166.43,3
F,3,14,2,H1,S1,M2,L1,D,0,5.17,0
F,2,14,2,C,S2,M1,L2,D,0,8.23,0
F,3,2,2,M1,S3,M1,L1,B,0,52.24,2
F,9,14,2,C,S1,M0,L2,B,0,75.24,2
F,9,4,2,M1,S2,M1,L3,B,0,3.43,0
F,9,2,2,M1,S1,M1,L2,B,0,69.92,2
F,1,0,2,H1,S2,M2,L1,B,2,4,0
F,13,20,2,C,S2,M1,L1,D,0,10.32,0
F,1,0,2,H1,S2,M3,L1,D,4,4.92,0
F,9,14,2,M1,S1,M1,L2,D,0,137.67,6
F,4,6,2,C,S3,M0,L2,B,0,3,0
F,13,10,2,M1,S1,M2,L1,D,0,1,0
F,5,6,2,M1,S2,M1,L1,D,0,11.42,0
F,1,10,3,M1,S2,M1,L3,D,0,11.01,0
F,8,20,1,M1,S3,M1,L1,B,0,1,0
F,7,10,2,H1,S2,M3,L2,B,2,1,0
F,1,8,3,M2,S1,M1,L3,D,0,6.85,0
F,1,4,2,H1,S3,M3,L2,D,1,10.2,0
F,8,10,2,M1,S0,M1,L1,D,0,3,0
F,8,10,3,M2,S1,M1,L4,D,0,1,0
F,4,20,2,M2,S1,M1,L1,D,0,0.92,0
F,9,4,2,H1,S1,M2,L2,D,1,8.07,0
F,1,0,2,M2,S2,M1,L1,E,4,14.25,0
F,2,4,2,H1,S1,M2,L3,D,0,10.93,0
F,1,4,2,M1,S2,M0,L2,B,1,4.88,0
F,8,20,2,M1,S1,M1,L2,D,0,10.76,0
F,1,0,2,M1,S5,M1,L1,E,0,1,0
F,6,20,3,M2,S2,M1,L1,D,0,2,0
F,2,10,3,M2,S1,M2,L3,D,0,0.89,0
F,4,8,2,M2,S5,M1,L1,D,0,1,0
F,9,10,2,M1,S0,M1,L4,D,0,1,0
F,10,14,2,M2,S0,M2,L2,D,1,2,0
P,3,4,3,M2,S5,M1,L2,D,0,2,0
F,15,20,2,C,S2,M0,L2,B,0,1,0
F,10,2,2,M2,S1,M3,L2,D,0,1,0
F,5,6,2,C,S3,M1,L1,B,0,3,0
F,14,6,2,M1,S2,M2,L2,B,0,1.5,0
